Image & Size & Pixels & Column Major & Row Major & Snake &  Spiral & Hilbert Curve 
locks.ppm,(3x 4288x 2848),36636672,88,92,101.8,112.6,400.8
fireworks.ppm,(3x 3024x 4032),36578304,82.5,84.1,83.4,89.3,365.8
sunset.ppm,(3x 4288x 2848),36636672,71.5,79.6,76.9,79.8,340.3
flower.ppm,(3x 4032x 3024),36578304,99.7,102.8,96.8,101.9,327.6
park.ppm,(3x 4032x 3024),36578304,75.3,78.7,77.7,78.5,321
flamingo.ppm,(3x 2848x 4288),36636672,71.9,74.8,72.8,80.3,342.9
ceiling.ppm,(3x 4288x 2848),36636672,89.7,91.5,91.5,93.3,352
berry.ppm,(3x 2848x 4288),36636672,104.7,108,107.1,114.5,352.7
Average,-,-,
