Image & Size & Pixels & Column Major & Row Major & Snake &  Spiral & Hilbert Curve 
[2]mandrill.ppm,(3x 512x 512),786432,2.6,2.5,2.5,2.5,6.3
[1]peppers.ppm,(3x 512x 512),786432,2.3,2.2,2.2,2.4,6
[3]barbara.ppm,(3x 640x 512),983040,3.1,3,3,3.1,8.2
Average,-,-,
